660,CENTRISTAS,0
661,GINP,0
662,AEVALLFERRERAPELCANVI,0
663,URAL,0
664,CIPAL,0
665,UNIONDECENTROGASTOREÑO,0
666,VxH,0
667,PARTIDOVEN-T,0
668,UPF,0
669,AAE,0
670,PICIFN,0
671,Jm,0
672,ORMAIZTEGIKOHERRITALDEA,0
673,UXC,0
674,UXA,0
675,iPD,0
676,GpV,0
677,ADI,0
678,IxVIMIANZO,0
679,VxP,0
680,FPG,0
681,UxV,0
682,PSDG,0
683,PSDPORLOSCIUDADANOS,0
684,AEDEMJOVENALCOLEANA,0
685,IAF,0
686,IAA,0
687,RISA,0
688,GTCU,0
689,APROGBENAOJÁN,0
690,UxC,0
691,HH,0
692,UCiD,0
693,UNIFOZ,0
694,UxM,0
695,IAP,0
696,AIAC,0
697,GPS,0
698,IPERVILANOVADESEGRIÀ,0
699,GISCa,0
700,GOIZ-BINI,0
701,UPBoiro,0
702,AVEMA,0
703,CAVA,0
704,ALDEM,0
705,IZSA,0
706,AR,0
707,PLCV,0
708,AIDOyP,0
709,AEUNIÓNPORPENAGOS,0
710,UVG,0
711,GENTDEPUIGPELAT,0
712,AEP,0
713,AES,0
714,IxSA,0
715,AET,0
716,CIDG,0
717,AEV,0
718,MSR,0
719,USIHA,0
720,GIRA,0
721,AEA,0
722,AEC,0
723,AEB,0
724,AEE,0
725,AEPYM,0
726,AEG,0
727,AIEVALVERDE-ENRIQUE,0
728,AEI,0
729,AxSM,0
730,AEM,0
731,AEL,0
732,UNIDE,0
733,AEN,0
734,LDC,0
735,CENVAL,0
736,UPB,0
737,INDEPENDIENTECALCENA,0
738,AEIND,0
739,HERRIGINTZA,0
740,MIT,0
741,VE-TA,0
742,UDMA,0
743,GEA,0
744,CIT,0
745,PG,0
746,PDPV,0
747,AEIPOLEÑINO,0
748,PH,0
749,PI,0
750,PM,0
751,PSM-EN-APIB,0
752,PIH,0
753,IIS-A,0
754,VGI,0
755,ARESOERAIKIZ,0
756,PP-UPCx,0
757,IxCastelló-V:CM,0
758,PIArr,0
759,KZ,0
760,AGRUPACIOLAMUGA,0
761,LU,0
762,INDEPENDENTSPERXALO,0
763,UUG,0
764,AXP,0
765,AINP,0
766,ExC,0
767,UVAL,0
768,AINS,0
769,AEFUENTELVIEJO,0
770,ExM,0
771,ANI,0
772,CIBUR,0
773,AGRUPACIONELECTORALEZKA,0
774,PdeC,0
775,IPGE,0
776,AEUUC,0
777,AxG,0
778,CISex,0
779,L'VIA,0
780,BIDEBERRIAK,0
781,PSIRV,0
782,DO,0
783,AAE1RIPOLLES,0
784,DESDEBAIX,0
785,UPIB,0
786,CDdeC,0
787,VVR,0
788,IDEAL,0
789,ab,0
790,ILR,0
791,OLIVO-I,0
792,ADii,0
793,PAREMA,0
794,GIROA,0
795,IxOnda-Verds:CM,0
796,AESA,0
797,AEIZDAALTVAELBOSQUE,0
798,AM+LOSVERDES,0
799,esquerraunitaria,0
800,L'ENTESA,0
801,UMe,0
802,AIESCA,0
803,AEZARZUELAINDEPENDIENTE,0
804,CIGALESPI,0
805,GINDPTEBENADALID,0
806,CI,0
807,UNIMO,0
808,ZTI,0
809,IUP-MO,0
810,IZAN,0
811,CG,0
812,MG,0
813,CE,0
814,N,0
815,AEVILLARDELRÍO,0
816,PSM-ESQUERRA-PSOE-ENTESA,0
817,IEM,0
818,ADIE,0
819,AEIVILLARRINDECAMPOS,0
820,CxMONDA,0
821,CU,0
822,Caballas,0
823,AQUÍ,0
824,CDF,0
825,AILAZAGORRI,0
826,CDM,0
827,RUA,0
828,PorMuskiz.Bai,0
829,PPIM,0
830,CDP,0
831,NMC,0
832,CDS,0
833,TSF,0
834,PLJ,0
835,LUZAIDEGATIK,0
836,USR,0
837,DIL,0
838,ACIAL,0
839,AICARRASCOSADELASIERRA,0
840,AIV,0
841,EV-GVE,0
842,AIP,0
843,LOSVERDES,0
844,AIR,0
845,AIL,0
846,UPPA,0
847,FORTALEZA,0
848,PIM-Villalbilla,0
849,AIH,0
850,IniciativaCI,0
851,AIE,0
852,AGELINVIC,0
853,PCPE,0
854,AIA,0
855,CVC,0
856,AIC,0
857,AIB,0
858,AISB,0
859,AISA,0
860,PUYC,0
861,PPN,0
862,AISM,0
863,PPL,0
864,PVPS,0
865,LIDER,0
866,AINDPTEVECINOS,0
867,IPR,0
868,AIFC,0
869,VA,0
870,VB,0
871,VD,0
872,GISPM,0
873,AIER,0
874,IP,0
875,IS,0
876,IR,0
877,VM,0
878,IV,0
879,LVE,0
880,ALINPVI,0
881,VT,0
882,IL,0
883,CiBu,0
884,IC,0
885,IB,0
886,ID,0
887,IG,0
888,EVPV/LVPV,0
889,PPOLITICOCOMUNEROS,0
890,AAE1OSONA,0
891,ARDE,0
892,ARRIBETALDEA,0
893,ALTVAPARAVILLACASTIN,0
894,AVESAN,0
895,PIRATACAT,0
896,UMVRM-EPAND,0
897,IPdeU,0
898,AEIDELLADORRE,0
899,UPdN,0
900,APSI,0
901,APSM,0
902,MRH,0
903,Cñ,0
904,PINP,0
905,ARM,0
906,AIMATALLANADETORÍO,0
907,HERRITARRAK,0
908,BB,0
909,UPMAT,0
910,NAV,0
911,IAT,0
912,CCD,0
913,PLDA-AMF,0
914,SARRAGOA,0
915,AEISABIÑAN,0
916,UIA,0
917,PIVC,0
918,UIC,0
919,PIM,0
920,PIN,0
921,MEZQUITA,0
922,PIC,0
923,PMSD,0
924,iVi,0
925,PIF,0
926,SiF,0
927,PRB,0
928,ALKARLANIEN,0
929,AISAB,0
930,AVIP,0
931,CENB,0
932,PIQ,0
933,UDCh,0
934,PIU,0
935,MASPORTELDE,0
936,AISANSEBASTIAN,0
937,APZ,0
938,CQM,0
939,IPC,0
940,ALBA,0
941,TI,0
942,SVC,0
943,PIDES,0
944,AELAENCINATALAVERALAREAL,0
945,AReus,0
946,AEPEÑAMORA,0
947,SVV,0
948,ATREVEIX-TE-REAGRUPAMENT,0
949,CUPO,0
950,CIVIQUS,0
951,Vx+,0
952,PITEUS,0
953,BILTZEN,0
954,ACpH-O,0
955,GRUPOPORMONDEJAR,0
956,ICBOIRO,0
957,OE,0
958,CINDPTELASOLANA,0
959,UpB,0
960,OB,0
961,ALER,0
962,CdeM,0
963,PACMA/ZAAAA,0
964,CXC,0
965,UCI,0
966,AEPINARJARDIN-MARUGAN,0
967,UBM,0
968,AEMB-MBHE,0
969,ECpR,0
970,+bv,0
971,UPP:CM,0
972,IPN,0
